Gene	TFfam	blastiden
BraA09g056360.3.5C	bHLH	100.000
BraA04g014870.3.5C	TALE	100.000
BraA06g035650.3.5C	Trihelix	99.836
BraA03g002940.3.5C	ARR-B	100.000
BraA06g003160.3.5C	ERF	100.000
BraA09g024390.3.5C	C2H2	100.000
BraA08g022090.3.5C	HD-ZIP	100.000
BraA08g003080.3.5C	GRAS	100.000
BraA08g008410.3.5C	C2H2	99.796
BraA03g035330.3.5C	MYB	87.247
BraA03g003320.3.5C	TCP	100.000
BraA10g033190.3.5C	E2F/DP	100.000
BraA02g026670.3.5C	ERF	99.598
BraA09g035850.3.5C	WRKY	100.000
BraA04g032110.3.5C	WRKY	81.106
BraA09g053770.3.5C	ARR-B	100.000
BraA10g028560.3.5C	WOX	100.000
BraA02g031960.3.5C	HSF	100.000
BraA02g042170.3.5C	WRKY	100.000
BraA02g021870.3.5C	AP2	99.296
BraA08g021550.3.5C	MYB_related	100.000
BraA04g025660.3.5C	Dof	100.000
BraA05g002830.3.5C	bZIP	100.000
BraA03g020120.3.5C	WRKY	100.000
BraA04g013380.3.5C	HSF	100.000
BraA05g016910.3.5C	Trihelix	100.000
BraA03g003880.3.5C	NAC	100.000
BraA01g038150.3.5C	NAC	100.000
BraA01g012710.3.5C	WRKY	100.000
BraA06g040760.3.5C	WRKY	100.000
BraA03g022700.3.5C	bHLH	100.000
BraA08g002590.3.5C	GATA	97.078
BraA03g022890.3.5C	Nin-like	99.560
BraA05g011250.3.5C	ERF	100.000
BraA03g047440.3.5C	bHLH	99.123
BraA04g001270.3.5C	WRKY	100.000
BraA09g056910.3.5C	WRKY	100.000
BraA03g029410.3.5C	bHLH	100.000
BraA10g026930.3.5C	HB-other	100.000
BraA09g043270.3.5C	ERF	100.000
BraA09g013250.3.5C	bHLH	100.000
BraA02g043710.3.5C	bZIP	100.000
BraA03g015180.3.5C	C3H	100.000
BraA10g022300.3.5C	MYB	98.201
BraA09g058810.3.5C	MYB	100.000
BraA09g004320.3.5C	MYB_related	100.000
BraA07g033180.3.5C	bHLH	100.000
BraA10g027440.3.5C	AP2	99.307
BraA05g029620.3.5C	M-type_MADS	99.691
BraA06g009810.3.5C	Trihelix	100.000
BraA07g018130.3.5C	NAC	100.000
BraA09g007820.3.5C	LBD	97.727
BraA09g063620.3.5C	bHLH	99.476
BraA03g002380.3.5C	C2H2	100.000
BraA07g026010.3.5C	bZIP	100.000
BraA04g017700.3.5C	bHLH	95.469
BraA07g003130.3.5C	bZIP	92.965
BraA07g038540.3.5C	HD-ZIP	100.000
BraA07g012960.3.5C	B3	71.779
BraA03g021560.3.5C	bZIP	100.000
BraA06g019300.3.5C	E2F/DP	85.271
BraA03g058850.3.5C	MYB	96.680
BraA08g027490.3.5C	C3H	100.000
BraA01g006360.3.5C	WRKY	100.000
BraA04g030750.3.5C	C2H2	100.000
BraA03g000960.3.5C	C2H2	100.000
BraA10g025040.3.5C	NAC	99.507
BraA03g007110.3.5C	MIKC_MADS	100.000
BraA01g023270.3.5C	Dof	100.000
BraA03g018720.3.5C	TALE	98.353
BraA04g018350.3.5C	LBD	94.481
BraA09g013330.3.5C	ERF	100.000
BraA05g010180.3.5C	WRKY	100.000
BraA03g044820.3.5C	NAC	99.694
BraA10g025890.3.5C	MYB	100.000
BraA06g016890.3.5C	SBP	100.000
BraA01g003130.3.5C	Nin-like	99.896
BraA02g038560.3.5C	bHLH	100.000
BraA08g031680.3.5C	NAC	99.742
BraA03g038870.3.5C	TCP	100.000
BraA04g002850.3.5C	WRKY	100.000
BraA08g000550.3.5C	WRKY	99.595
BraA05g025210.3.5C	CPP	97.531
BraA02g040720.3.5C	MIKC_MADS	98.755
BraA07g034830.3.5C	G2-like	100.000
BraA01g001170.3.5C	HD-ZIP	100.000
BraA03g010220.3.5C	E2F/DP	100.000
BraA09g037170.3.5C	WRKY	99.618
BraA09g020330.3.5C	ZF-HD	100.000
BraA09g061010.3.5C	ZF-HD	100.000
BraA09g057940.3.5C	C3H	100.000
BraA06g034050.3.5C	B3	100.000
BraA07g015660.3.5C	GRAS	100.000
BraA08g029060.3.5C	MYB_related	100.000
BraA07g011130.3.5C	WRKY	93.004
BraA03g045040.3.5C	ERF	100.000
BraA07g019400.3.5C	GATA	100.000
BraA10g029630.3.5C	NAC	99.647
BraA07g016990.3.5C	LBD	100.000
BraA03g013060.3.5C	WRKY	100.000
BraA08g027500.3.5C	MIKC_MADS	99.408
BraA02g017390.3.5C	C2H2	100.000
BraA04g004310.3.5C	WRKY	100.000
BraA03g014810.3.5C	MYB_related	100.000
BraA07g028750.3.5C	DBB	100.000
BraA02g020880.3.5C	MYB_related	100.000
BraA07g030770.3.5C	ERF	100.000
BraA01g030890.3.5C	G2-like	100.000
BraA02g018120.3.5C	CAMTA	100.000
BraA02g007710.3.5C	NAC	100.000
BraA06g017260.3.5C	Dof	99.605
BraA01g004290.3.5C	bZIP	100.000
BraA03g005640.3.5C	WRKY	100.000
BraA10g021960.3.5C	G2-like	100.000
BraA05g042060.3.5C	WRKY	97.322
BraA02g046500.3.5C	NAC	100.000
BraA09g009510.3.5C	Dof	91.509
BraA10g017710.3.5C	MYB_related	100.000
BraA10g032810.3.5C	C2H2	99.806
BraA09g021230.3.5C	C3H	100.000
BraA07g023940.3.5C	GRAS	98.517
BraA02g042810.3.5C	M-type_MADS	100.000
BraA09g060760.3.5C	WOX	87.259
BraA06g005600.3.5C	bZIP	100.000
BraA02g032280.3.5C	ERF	74.611
BraA03g024780.3.5C	NF-YB	100.000
BraA03g050190.3.5C	Dof	100.000
BraA10g014070.3.5C	HSF	100.000
BraA09g031930.3.5C	C2H2	80.139
BraA06g034270.3.5C	GATA	100.000
BraA03g049540.3.5C	B3	100.000
BraA02g012630.3.5C	AP2	99.378
BraA01g008420.3.5C	bHLH	100.000
BraA09g048080.3.5C	Dof	100.000
BraA03g015240.3.5C	MIKC_MADS	100.000
BraA08g013150.3.5C	MYB	99.717
BraA03g039750.3.5C	ERF	100.000
BraA05g005090.3.5C	LBD	100.000
BraA07g033670.3.5C	TCP	99.707
BraA08g017300.3.5C	HD-ZIP	100.000
BraA02g035550.3.5C	G2-like	100.000
BraA01g044450.3.5C	NAC	100.000
BraA03g008470.3.5C	NAC	100.000
BraA08g031100.3.5C	G2-like	100.000
BraA04g023680.3.5C	ERF	100.000
BraA06g015200.3.5C	BES1	100.000
BraA10g015080.3.5C	GATA	100.000
BraA05g018070.3.5C	FAR1	100.000
BraA04g031740.3.5C	bHLH	100.000
BraA09g024010.3.5C	HD-ZIP	100.000
BraA05g006120.3.5C	MYB	100.000
BraA05g028630.3.5C	C2H2	100.000
BraA03g040990.3.5C	HSF	100.000
BraA02g009250.3.5C	ARF	100.000
BraA08g026470.3.5C	G2-like	91.693
BraA01g006290.3.5C	B3	100.000
BraA04g031000.3.5C	LBD	100.000
BraA06g004460.3.5C	M-type_MADS	99.621
BraA05g007970.3.5C	C2H2	100.000
BraA10g028840.3.5C	C2H2	100.000
BraA07g025760.3.5C	NAC	95.536
BraA01g000670.3.5C	ERF	100.000
BraA07g015090.3.5C	bHLH	100.000
BraA04g030970.3.5C	VOZ	100.000
BraA02g036270.3.5C	ARR-B	100.000
BraA01g001580.3.5C	MYB	100.000
BraA06g021110.3.5C	C2H2	97.396
BraA02g038620.3.5C	B3	87.013
BraA07g014990.3.5C	MYB	100.000
BraA08g018350.3.5C	WRKY	100.000
BraA02g023520.3.5C	bZIP	100.000
BraA07g039960.3.5C	ZF-HD	100.000
BraA06g003210.3.5C	GRAS	100.000
BraA05g025990.3.5C	bHLH	100.000
BraA03g047760.3.5C	ERF	100.000
BraA02g007090.3.5C	MYB_related	100.000
BraA08g025830.3.5C	C2H2	100.000
BraA03g005530.3.5C	MYB	100.000
BraA10g000840.3.5C	B3	99.419
BraA09g019850.3.5C	bHLH	98.901
BraA09g063710.3.5C	C2H2	100.000
BraA02g014650.3.5C	NAC	100.000
BraA04g027670.3.5C	C2H2	100.000
BraA10g026940.3.5C	bZIP	100.000
BraA03g049200.3.5C	HSF	100.000
BraA07g013580.3.5C	C2H2	94.313
BraA05g024090.3.5C	G2-like	100.000
BraA09g056320.3.5C	bHLH	100.000
BraA06g003120.3.5C	RAV	100.000
BraA09g058340.3.5C	BES1	95.611
BraA09g066600.3.5C	C2H2	96.078
BraA01g025510.3.5C	G2-like	100.000
BraA06g014700.3.5C	ZF-HD	95.238
BraA07g017600.3.5C	LBD	99.704
BraA05g022470.3.5C	bHLH	100.000
BraA04g021950.3.5C	GRAS	93.629
BraA10g018510.3.5C	HD-ZIP	100.000
BraAnng003270.3.5C	ERF	100.000
BraA02g022680.3.5C	EIL	100.000
BraA06g035040.3.5C	C2H2	90.876
BraA06g014130.3.5C	bHLH	100.000
BraA02g012930.3.5C	bHLH	93.243
BraA03g037470.3.5C	NAC	99.429
BraA05g030580.3.5C	B3	100.000
BraA04g025520.3.5C	SBP	100.000
BraA04g003600.3.5C	MIKC_MADS	100.000
BraA08g016450.3.5C	ERF	99.624
BraA08g026590.3.5C	HD-ZIP	100.000
BraA03g034900.3.5C	NAC	100.000
BraA05g032610.3.5C	NAC	100.000
BraA06g003850.3.5C	bZIP	100.000
BraA09g024260.3.5C	C2H2	100.000
BraA01g040680.3.5C	B3	99.614
BraA02g006810.3.5C	HSF	99.774
BraA10g024530.3.5C	MYB	100.000
BraA01g002450.3.5C	NAC	100.000
BraA09g001680.3.5C	bHLH	98.026
BraA04g013630.3.5C	C3H	99.068
BraA06g015780.3.5C	C3H	100.000
BraA07g013000.3.5C	C2H2	100.000
BraA03g055530.3.5C	NAC	100.000
BraA07g029790.3.5C	HD-ZIP	99.676
BraA08g021770.3.5C	G2-like	99.688
BraA10g025030.3.5C	C2H2	100.000
BraA03g016170.3.5C	B3	99.872
BraA03g053360.3.5C	bHLH	100.000
BraA09g012840.3.5C	G2-like	100.000
BraA07g000670.3.5C	CPP	100.000
BraA06g007560.3.5C	bHLH	98.049
BraA01g036310.3.5C	bZIP	100.000
BraA02g013910.3.5C	MYB	99.815
BraA06g022100.3.5C	NAC	100.000
BraA06g046080.3.5C	bZIP	99.776
BraA04g001860.3.5C	GRAS	100.000
BraA07g039710.3.5C	ERF	100.000
BraA04g030900.3.5C	bHLH	100.000
BraA05g035430.3.5C	MYB	100.000
BraA09g062100.3.5C	RAV	100.000
BraA10g021920.3.5C	NAC	100.000
BraA10g019100.3.5C	NAC	99.574
BraA04g001530.3.5C	MYB	100.000
BraA03g017840.3.5C	SBP	100.000
BraA09g014020.3.5C	WRKY	100.000
BraA07g000500.3.5C	C3H	100.000
BraA10g030430.3.5C	bHLH	99.237
BraA03g058160.3.5C	TALE	100.000
BraA08g033770.3.5C	YABBY	100.000
BraA06g029670.3.5C	MIKC_MADS	100.000
BraA07g020680.3.5C	NAC	100.000
BraA02g002490.3.5C	NAC	100.000
BraA09g026390.3.5C	HD-ZIP	100.000
BraA02g025680.3.5C	BES1	100.000
BraA09g059290.3.5C	NF-YA	91.291
BraA02g005900.3.5C	WRKY	100.000
BraA09g043050.3.5C	LBD	100.000
BraA02g004740.3.5C	NAC	100.000
BraA05g041930.3.5C	HD-ZIP	100.000
BraA03g034490.3.5C	MYB	100.000
BraA09g049110.3.5C	NAC	92.697
BraA09g038530.3.5C	C2H2	100.000
BraA03g016250.3.5C	WRKY	100.000
BraA08g029590.3.5C	MYB	71.676
BraA02g037430.3.5C	MIKC_MADS	94.796
BraA05g007240.3.5C	G2-like	100.000
BraA02g043520.3.5C	TALE	100.000
BraA08g020540.3.5C	bHLH	100.000
BraA10g009300.3.5C	NAC	100.000
BraA02g044970.3.5C	NAC	100.000
BraA07g017500.3.5C	B3	100.000
BraA03g035680.3.5C	bZIP	100.000
BraA02g010620.3.5C	Dof	100.000
BraA03g058470.3.5C	ERF	100.000
BraA02g019280.3.5C	TCP	94.030
BraA08g017370.3.5C	ERF	100.000
BraA05g013550.3.5C	LBD	100.000
BraA09g006880.3.5C	MYB	99.669
BraA02g045580.3.5C	MYB	100.000
BraA05g011980.3.5C	C3H	100.000
BraA06g038710.3.5C	MYB	99.569
BraA08g020940.3.5C	bZIP	97.285
BraA10g028480.3.5C	NF-X1	99.887
BraA09g066900.3.5C	C2H2	85.714
BraA05g026560.3.5C	bHLH	100.000
BraA02g038090.3.5C	Trihelix	99.241
BraA10g022550.3.5C	GRAS	100.000
BraA10g033520.3.5C	TALE	100.000
BraA04g027970.3.5C	C2H2	100.000
BraA04g027080.3.5C	GeBP	99.747
BraA03g020480.3.5C	bZIP	100.000
BraA08g033540.3.5C	NF-YC	100.000
BraA04g031900.3.5C	YABBY	100.000
BraA03g053450.3.5C	ERF	100.000
BraA08g013130.3.5C	HD-ZIP	100.000
BraA09g036210.3.5C	ARF	99.779
BraA02g007400.3.5C	WOX	99.631
BraA03g056380.3.5C	bHLH	100.000
BraA01g002360.3.5C	SRS	100.000
BraA06g032780.3.5C	WRKY	100.000
BraA08g018100.3.5C	Trihelix	97.143
BraA01g021980.3.5C	CPP	100.000
BraA01g010950.3.5C	HSF	100.000
BraA09g000420.3.5C	HD-ZIP	99.873
BraA09g048580.3.5C	C3H	100.000
BraA03g008620.3.5C	C3H	100.000
BraA10g010760.3.5C	C3H	100.000
BraA04g023670.3.5C	bHLH	93.023
BraA01g003860.3.5C	ERF	99.618
BraA09g044610.3.5C	bHLH	100.000
BraA04g029830.3.5C	LBD	100.000
BraA01g017000.3.5C	HRT-like	100.000
BraA09g006800.3.5C	TCP	100.000
BraA05g029210.3.5C	B3	99.711
BraA06g033440.3.5C	bZIP	99.656
BraA04g033410.3.5C	NAC	100.000
BraA09g048980.3.5C	WRKY	100.000
BraA03g060940.3.5C	bZIP	97.348
BraA10g032490.3.5C	Trihelix	99.825
BraA07g040900.3.5C	FAR1	100.000
BraA07g016710.3.5C	MYB_related	100.000
BraA02g000430.3.5C	TALE	100.000
BraA09g000740.3.5C	LBD	100.000
BraA03g030450.3.5C	HD-ZIP	99.874
BraA03g007910.3.5C	MYB_related	100.000
BraA06g002250.3.5C	HD-ZIP	95.550
BraA06g015040.3.5C	ARF	100.000
BraA03g048590.3.5C	ARR-B	100.000
BraA04g014510.3.5C	TCP	100.000
BraA03g034070.3.5C	C3H	100.000
BraA10g014600.3.5C	WRKY	100.000
BraA07g036850.3.5C	MYB_related	100.000
BraA09g011630.3.5C	bZIP	100.000
BraA06g005170.3.5C	LBD	100.000
BraA08g008300.3.5C	bHLH	100.000
BraA01g008900.3.5C	G2-like	100.000
BraA03g061130.3.5C	SRS	100.000
BraA02g019540.3.5C	MIKC_MADS	100.000
BraA01g041000.3.5C	ERF	100.000
BraA07g015020.3.5C	M-type_MADS	100.000
BraA02g010020.3.5C	WRKY	100.000
BraA08g004060.3.5C	MYB_related	100.000
BraA09g002360.3.5C	NAC	100.000
BraA01g045260.3.5C	LBD	99.621
BraA01g018930.3.5C	MYB	100.000
BraA01g043140.3.5C	bHLH	100.000
BraA08g032880.3.5C	bHLH	95.977
BraA10g001620.3.5C	bHLH	100.000
BraA06g027660.3.5C	Dof	100.000
BraA05g009660.3.5C	bZIP	100.000
BraA09g056390.3.5C	MIKC_MADS	99.561
BraA05g013630.3.5C	MYB	100.000
BraA04g010900.3.5C	ARF	100.000
BraA03g021400.3.5C	G2-like	100.000
BraA09g014620.3.5C	Dof	100.000
BraAnng003370.3.5C	MYB_related	100.000
BraA04g030980.3.5C	C2H2	100.000
BraA09g055430.3.5C	NAC	99.685
BraA02g004600.3.5C	MYB	100.000
BraA01g012470.3.5C	HD-ZIP	100.000
BraA07g016660.3.5C	ARF	100.000
BraA08g014440.3.5C	LSD	100.000
BraA06g013790.3.5C	HD-ZIP	100.000
BraA03g062560.3.5C	ERF	100.000
BraA10g032570.3.5C	C2H2	100.000
BraA06g033880.3.5C	TALE	99.525
BraA08g023180.3.5C	BBR-BPC	100.000
BraA03g055950.3.5C	C3H	99.724
BraA07g030630.3.5C	ERF	100.000
BraA05g009310.3.5C	E2F/DP	100.000
BraA06g046070.3.5C	BBR-BPC	99.618
BraA03g054050.3.5C	WRKY	99.433
BraA04g021530.3.5C	Dof	100.000
BraA02g014860.3.5C	GRF	100.000
BraA08g025210.3.5C	bHLH	99.609
BraA06g029740.3.5C	ERF	81.206
BraA08g026520.3.5C	NAC	100.000
BraA05g016110.3.5C	FAR1	100.000
BraA01g014840.3.5C	Dof	100.000
BraA08g026090.3.5C	RAV	99.721
BraA06g015770.3.5C	ARF	100.000
BraA03g036100.3.5C	NAC	100.000
BraA03g045050.3.5C	ERF	100.000
BraA03g008920.3.5C	FAR1	100.000
BraA05g031420.3.5C	ARR-B	100.000
BraA09g002610.3.5C	NAC	100.000
BraA09g050740.3.5C	Trihelix	100.000
BraA06g002810.3.5C	AP2	99.466
BraA02g020010.3.5C	HD-ZIP	100.000
BraA03g014080.3.5C	MYB	100.000
BraA09g036060.3.5C	HD-ZIP	100.000
BraA03g015580.3.5C	C2H2	99.723
BraA09g020600.3.5C	SBP	100.000
BraA01g039060.3.5C	C2H2	100.000
BraA06g019050.3.5C	C2H2	100.000
BraA07g040080.3.5C	TALE	100.000
BraA02g045080.3.5C	LFY	100.000
BraA03g014600.3.5C	bHLH	100.000
BraA09g059110.3.5C	MYB	100.000
BraA02g044580.3.5C	MYB	100.000
BraA07g034400.3.5C	C2H2	100.000
BraA02g022900.3.5C	MYB	96.407
BraA07g027860.3.5C	ARF	100.000
BraA03g052550.3.5C	GRF	100.000
BraA01g037900.3.5C	NAC	99.721
BraA07g043650.3.5C	WRKY	100.000
BraA09g011530.3.5C	WOX	100.000
BraA09g019710.3.5C	ARF	100.000
BraA01g023140.3.5C	HSF	92.398
BraA07g029290.3.5C	MYB	100.000
BraA03g046280.3.5C	HSF	99.588
BraA06g010850.3.5C	BBR-BPC	100.000
BraA06g006490.3.5C	MYB	100.000
BraA03g036810.3.5C	ERF	100.000
BraA02g017510.3.5C	GRAS	100.000
BraA07g002360.3.5C	GATA	100.000
BraA06g012130.3.5C	GRAS	99.123
BraA05g040630.3.5C	M-type_MADS	86.477
BraA01g001670.3.5C	bHLH	100.000
BraA02g036890.3.5C	ZF-HD	100.000
BraA06g029680.3.5C	bHLH	100.000
BraA05g002690.3.5C	SBP	99.187
BraA01g039850.3.5C	MYB	91.983
BraA09g011050.3.5C	bZIP	100.000
BraA06g029420.3.5C	WRKY	100.000
BraA04g031970.3.5C	GATA	100.000
BraA07g031280.3.5C	TCP	99.057
BraA02g042230.3.5C	FAR1	100.000
BraA01g017460.3.5C	WRKY	100.000
BraA10g023290.3.5C	G2-like	99.745
BraA01g034060.3.5C	GATA	98.919
BraA05g026470.3.5C	MYB_related	100.000
BraA07g010130.3.5C	MYB	100.000
BraA04g028380.3.5C	WRKY	100.000
BraA07g022110.3.5C	C2H2	100.000
BraA03g025820.3.5C	HSF	100.000
BraA10g002280.3.5C	C3H	99.744
BraA03g061650.3.5C	G2-like	100.000
BraA03g037310.3.5C	NAC	99.677
BraA01g003380.3.5C	MYB	100.000
BraA03g019570.3.5C	GRAS	100.000
BraA03g022200.3.5C	C2H2	99.597
BraA02g002810.3.5C	MYB	100.000
BraA05g001820.3.5C	bZIP	100.000
BraA02g002330.3.5C	ERF	100.000
BraA03g015250.3.5C	MIKC_MADS	100.000
BraA03g002040.3.5C	C2H2	100.000
BraA03g011110.3.5C	MYB	100.000
BraA04g001130.3.5C	HD-ZIP	99.561
BraA05g043460.3.5C	M-type_MADS	100.000
BraA10g027790.3.5C	MIKC_MADS	100.000
BraA03g003390.3.5C	NF-YB	100.000
BraA03g027390.3.5C	MIKC_MADS	100.000
BraA09g006260.3.5C	NAC	100.000
BraA10g016900.3.5C	MYB_related	100.000
BraA06g028360.3.5C	NAC	100.000
BraA02g024330.3.5C	SBP	99.900
BraA09g067620.3.5C	NAC	100.000
BraA09g043130.3.5C	MYB	99.624
BraA03g018390.3.5C	bZIP	95.214
BraA02g019860.3.5C	G2-like	99.692
BraA05g035870.3.5C	C3H	100.000
BraA03g025540.3.5C	MYB	100.000
BraA04g031750.3.5C	NAC	100.000
BraA04g030330.3.5C	bHLH	100.000
BraA07g040180.3.5C	DBB	100.000
BraA06g018620.3.5C	MYB	97.328
BraA03g044300.3.5C	bZIP	100.000
BraA05g014800.3.5C	C2H2	100.000
BraA05g023330.3.5C	NAC	100.000
BraA06g029810.3.5C	bZIP	100.000
BraA03g024700.3.5C	MYB	100.000
BraA09g053150.3.5C	ARF	100.000
BraA10g025640.3.5C	NAC	100.000
BraA06g017510.3.5C	C3H	97.368
BraA06g038020.3.5C	ZF-HD	100.000
BraA01g008180.3.5C	B3	90.179
BraA05g000130.3.5C	CO-like	100.000
BraA03g052300.3.5C	ERF	100.000
BraA08g021530.3.5C	bHLH	100.000
BraA07g027780.3.5C	ERF	99.686
BraA01g009450.3.5C	C2H2	100.000
BraA10g004640.3.5C	bZIP	100.000
BraA01g018940.3.5C	ERF	79.181
BraA05g002850.3.5C	VOZ	99.789
BraA02g045230.3.5C	HSF	100.000
BraA09g045110.3.5C	bZIP	85.714
BraA02g010850.3.5C	C2H2	97.484
BraA08g016320.3.5C	bHLH	100.000
BraA09g000730.3.5C	LBD	100.000
BraA01g038130.3.5C	ERF	99.531
BraA10g028850.3.5C	LBD	100.000
BraA09g051230.3.5C	FAR1	100.000
BraA02g002100.3.5C	C2H2	100.000
BraA02g027560.3.5C	MYB_related	100.000
BraA10g016670.3.5C	C3H	100.000
BraA03g015170.3.5C	C2H2	99.742
BraA04g016430.3.5C	bZIP	99.338
BraA03g015730.3.5C	bHLH	99.684
BraA01g041170.3.5C	bZIP	97.953
BraA02g032940.3.5C	BES1	100.000
BraA08g025990.3.5C	CO-like	99.723
BraA05g041280.3.5C	MYB_related	100.000
BraA05g008640.3.5C	HD-ZIP	100.000
BraA09g043300.3.5C	bHLH	100.000
BraA04g013370.3.5C	M-type_MADS	83.668
BraA09g014710.3.5C	Nin-like	100.000
BraA02g044250.3.5C	MYB_related	100.000
BraA08g036220.3.5C	MYB_related	99.828
BraA07g031770.3.5C	CO-like	100.000
BraA07g031130.3.5C	MYB_related	100.000
BraA05g001380.3.5C	MYB_related	100.000
BraA02g047190.3.5C	bHLH	100.000
BraA03g044890.3.5C	C2H2	100.000
BraA07g039470.3.5C	bHLH	100.000
BraA04g003330.3.5C	bHLH	96.910
BraA05g036510.3.5C	MYB	100.000
BraA09g004110.3.5C	MYB	100.000
BraA04g030730.3.5C	C3H	99.856
BraA10g019970.3.5C	ARF	99.832
BraA06g029170.3.5C	NAC	100.000
BraA10g023880.3.5C	MIKC_MADS	100.000
BraA02g027710.3.5C	B3	99.676
BraA06g030620.3.5C	MYB_related	100.000
BraA05g019260.3.5C	RAV	100.000
BraA06g013260.3.5C	MYB_related	100.000
BraA01g001180.3.5C	MYB	100.000
BraA06g039280.3.5C	TCP	100.000
BraA08g014910.3.5C	Dof	91.367
BraA08g017930.3.5C	WRKY	100.000
BraA09g013350.3.5C	ERF	70.800
BraA01g018150.3.5C	NAC	100.000
BraA09g006010.3.5C	ERF	100.000
BraA05g028700.3.5C	HB-PHD	94.009
BraA05g009090.3.5C	bZIP	99.772
BraA08g028930.3.5C	ARF	99.804
BraA09g023770.3.5C	NF-YB	98.086
BraA01g035660.3.5C	NAC	99.667
BraA04g024830.3.5C	C3H	100.000
BraA09g008350.3.5C	CAMTA	99.900
BraA01g036990.3.5C	ERF	100.000
BraA01g012060.3.5C	bHLH	100.000
BraA03g061030.3.5C	bHLH	99.545
BraA04g033200.3.5C	MYB_related	100.000
BraA03g012330.3.5C	MYB	100.000
BraA07g000250.3.5C	G2-like	92.889
BraA10g030790.3.5C	MYB	100.000
BraA05g020200.3.5C	G2-like	100.000
BraA08g016290.3.5C	bZIP	100.000
BraA10g027390.3.5C	bHLH	98.058
BraA05g025190.3.5C	CPP	100.000
BraA01g045870.3.5C	MYB	100.000
BraA02g002170.3.5C	G2-like	100.000
BraA03g033120.3.5C	C3H	100.000
BraA05g008380.3.5C	MYB	100.000
BraA03g000060.3.5C	Trihelix	100.000
BraA10g012460.3.5C	NAC	100.000
BraA04g012800.3.5C	Dof	99.775
BraA02g045350.3.5C	MIKC_MADS	100.000
BraA03g024280.3.5C	WRKY	100.000
BraA02g046420.3.5C	bHLH	100.000
BraA07g010370.3.5C	LBD	100.000
BraA09g056450.3.5C	MIKC_MADS	100.000
BraA03g054940.3.5C	ERF	85.846
BraA07g032960.3.5C	C2H2	100.000
BraA09g009010.3.5C	MYB	86.188
BraA02g032270.3.5C	G2-like	100.000
BraA01g008350.3.5C	NAC	99.800
BraA04g009160.3.5C	GeBP	100.000
BraA03g023720.3.5C	GRAS	97.858
BraA02g036550.3.5C	G2-like	100.000
BraA06g035860.3.5C	bZIP	100.000
BraA08g028860.3.5C	BES1	100.000
BraA01g014560.3.5C	WRKY	100.000
BraA03g025150.3.5C	bHLH	98.403
BraA10g030110.3.5C	NF-YC	100.000
BraA10g027870.3.5C	bZIP	100.000
BraA01g041330.3.5C	MYB_related	100.000
BraA07g012120.3.5C	B3	98.567
BraA02g012370.3.5C	B3	100.000
BraA10g004820.3.5C	bHLH	100.000
BraA05g033130.3.5C	TCP	99.015
BraA01g001230.3.5C	bZIP	100.000
BraA05g001150.3.5C	HD-ZIP	100.000
BraA02g042350.3.5C	M-type_MADS	100.000
BraA01g030940.3.5C	bHLH	100.000
BraA06g044680.3.5C	G2-like	100.000
BraA03g002770.3.5C	G2-like	100.000
BraA03g039070.3.5C	B3	100.000
BraA05g007760.3.5C	MYB	100.000
BraA10g000650.3.5C	ERF	100.000
BraA03g004620.3.5C	TALE	98.465
BraA03g049210.3.5C	BES1	99.275
BraA05g013090.3.5C	bHLH	100.000
BraA07g025080.3.5C	ERF	79.012
BraA01g003620.3.5C	GATA	100.000
BraA04g027360.3.5C	MYB	100.000
BraA02g001500.3.5C	MYB_related	99.061
BraA08g019420.3.5C	NAC	100.000
BraA02g021420.3.5C	TCP	100.000
BraA09g015950.3.5C	TALE	99.661
BraA03g000550.3.5C	TALE	100.000
BraA02g028340.3.5C	HB-other	95.967
BraA10g022090.3.5C	B3	100.000
BraA02g023650.3.5C	DBB	100.000
BraA09g023160.3.5C	bHLH	99.602
BraA02g019710.3.5C	WRKY	100.000
BraA02g017340.3.5C	NAC	99.629
BraA03g015910.3.5C	ERF	100.000
BraA07g024980.3.5C	BBR-BPC	100.000
BraA07g029250.3.5C	bHLH	100.000
BraA06g028730.3.5C	NAC	100.000
BraA07g031400.3.5C	NAC	100.000
BraA03g044400.3.5C	MIKC_MADS	99.585
BraA01g039040.3.5C	LBD	99.615
BraA07g002980.3.5C	WOX	92.857
BraA06g045110.3.5C	C2H2	100.000
BraA09g043990.3.5C	GATA	100.000
BraA03g052020.3.5C	WRKY	100.000
BraA06g038300.3.5C	MYB	100.000
BraA03g011600.3.5C	MYB_related	100.000
BraA07g043470.3.5C	B3	100.000
BraA06g000170.3.5C	G2-like	100.000
BraA06g045220.3.5C	SBP	100.000
BraA05g035500.3.5C	C3H	99.815
BraA08g023110.3.5C	DBB	100.000
BraA01g039890.3.5C	G2-like	100.000
BraA02g000340.3.5C	MYB	100.000
BraA09g036890.3.5C	C3H	97.838
BraA01g000360.3.5C	MYB_related	100.000
BraA03g001630.3.5C	C2H2	100.000
BraA05g040620.3.5C	M-type_MADS	100.000
BraA05g035240.3.5C	NAC	99.675
BraA02g023140.3.5C	Nin-like	99.194
BraA01g044980.3.5C	NAC	100.000
BraA09g046250.3.5C	B3	100.000
BraA09g025900.3.5C	bHLH	100.000
BraA02g018630.3.5C	BBR-BPC	100.000
BraA10g030500.3.5C	NF-YB	100.000
BraA03g006310.3.5C	MYB	100.000
BraA09g031690.3.5C	bHLH	100.000
